time,time_error,rate,rate_error,fracexp
52777.134272941694,5.787037037037037e-7,74480,1220.49169921875,1
52777.13427352041,5.787037037037037e-7,70920,1190.9659423828125,1
52777.13427409911,5.787037037037037e-7,75280,1227.0289306640625,1
52777.1342746778,5.787037037037037e-7,74140,1217.7027587890625,1
52777.13427525652,5.787037037037037e-7,72960,1207.9735107421875,1
52777.13427583521,5.787037037037037e-7,72940,1207.8079833984375,1
52777.13427641393,5.787037037037037e-7,75040,1225.0714111328125,1
52777.13427699263,5.787037037037037e-7,73580,1213.09521484375,1
52777.13427757132,5.787037037037037e-7,74280,1218.8519287109375,1
52777.13427815004,5.787037037037037e-7,72640,1205.321533203125,1
52777.134278728736,5.787037037037037e-7,71520,1195.9932861328125,1
52777.13427930745,5.787037037037037e-7,73340,1211.115234375,1
52777.134279886144,5.787037037037037e-7,73560,1212.9302978515625,1
52777.134280464845,5.787037037037037e-7,73820,1215.072021484375,1
52777.13428104356,5.787037037037037e-7,73580,1213.09521484375,1
52777.13428162225,5.787037037037037e-7,71740,1197.8314208984375,1
52777.134282200976,5.787037037037037e-7,76600,1237.7398681640625,1
52777.13428277967,5.787037037037037e-7,76780,1239.1932373046875,1
52777.13428335836,5.787037037037037e-7,75320,1227.3548583984375,1
52777.13428393708,5.787037037037037e-7,74560,1221.14697265625,1
