time,time_error,rate,rate_error,fracexp
52777.134272941694,5.787037037037037e-7,74480,1220.49169921875,1
52777.13427352041,5.787037037037037e-7,70920,1190.9659423828125,1
52777.13427409911,5.787037037037037e-7,75280,1227.0289306640625,1
52777.1342746778,5.787037037037037e-7,74140,1217.7027587890625,1
52777.13427525652,5.787037037037037e-7,72960,1207.9735107421875,1
52777.13427583521,5.787037037037037e-7,72940,1207.8079833984375,1
52777.13427641393,5.787037037037037e-7,75040,1225.0714111328125,1
52777.13427699263,5.787037037037037e-7,73580,1213.09521484375,1
52777.13427757132,5.787037037037037e-7,74280,1218.8519287109375,1
52777.13427815004,5.787037037037037e-7,72640,1205.321533203125,1
52777.134278728736,5.787037037037037e-7,71520,1195.9932861328125,1
52777.13427930745,5.787037037037037e-7,73340,1211.115234375,1
52777.134279886144,5.787037037037037e-7,73560,1212.9302978515625,1
52777.134280464845,5.787037037037037e-7,73820,1215.072021484375,1
52777.13428104356,5.787037037037037e-7,73580,1213.09521484375,1
52777.13428162225,5.787037037037037e-7,71740,1197.8314208984375,1
52777.134282200976,5.787037037037037e-7,76600,1237.7398681640625,1
52777.13428277967,5.787037037037037e-7,76780,1239.1932373046875,1
52777.13428335836,5.787037037037037e-7,75320,1227.3548583984375,1
52777.13428393708,5.787037037037037e-7,74560,1221.14697265625,1
52777.13428451578,5.787037037037037e-7,7.67000e+04,1.23855e+03,1
52777.13428509449,5.787037037037037e-7,7.50400e+04,1.22507e+03,1
52777.13428567319,5.787037037037037e-7,7.58200e+04,1.23142e+03,1
52777.13428625188,5.787037037037037e-7,7.45800e+04,1.22131e+03,1
52777.13428683060,5.787037037037037e-7,7.33800e+04,1.21145e+03,1
52777.13428740930,5.787037037037037e-7,7.50200e+04,1.22491e+03,1
52777.13428798801,5.787037037037037e-7,7.49200e+04,1.22409e+03,1
52777.13428856671,5.787037037037037e-7,7.64800e+04,1.23677e+03,1
52777.13428914540,5.787037037037037e-7,7.95800e+04,1.26159e+03,1
52777.13428972412,5.787037037037037e-7,7.73600e+04,1.24387e+03,1
52777.13429030281,5.787037037037037e-7,7.76800e+04,1.24643e+03,1
52777.13429088153,5.787037037037037e-7,7.59600e+04,1.23256e+03,1
52777.13429146023,5.787037037037037e-7,7.68800e+04,1.24000e+03,1
52777.13429203892,5.787037037037037e-7,7.44800e+04,1.22049e+03,1
52777.13429261764,5.787037037037037e-7,7.49600e+04,1.22442e+03,1
52777.13429319634,5.787037037037037e-7,7.45200e+04,1.22082e+03,1
